account_value,date,daily_return
7390826.811927801,2014-09-05,0.00993271811327845
7319907.2519278005,2014-09-09,-0.00959561924594765
7288604.211927798,2014-09-10,-0.004276425769159653
7212827.3719278,2014-09-11,-0.010396618858243056
7272585.0919277975,2014-09-12,0.008284923084749485
7202504.0119277965,2014-09-15,-0.009636336889036534
7048467.851927799,2014-09-16,-0.021386473335509915
7104210.931927797,2014-09-17,0.007908538588957681
7110962.7719278,2014-09-18,0.0009503997086655058
7180771.571927798,2014-09-19,0.009817067285963654
7010163.691927798,2014-09-22,-0.023758990004217218
7077046.211927799,2014-09-23,0.009540792902884121
7220805.531927798,2014-09-24,0.020313463512178886
7257442.171927799,2014-09-25,0.005073760792754678
7244571.811927799,2014-09-26,-0.0017734016606818503
7247968.651927797,2014-09-29,0.00046888071347495064
7224233.051927799,2014-09-30,-0.0032747934131426293
7238150.331927801,2014-10-08,0.0019264716268099225
7219746.051927798,2014-10-09,-0.0025426772249838026
7171893.3719278,2014-10-10,-0.00662802814057728
7157366.811927799,2014-10-13,-0.0020254846588851905
7107030.731927798,2014-10-14,-0.007032765166669286
7153110.531927797,2014-10-15,0.006483692239149796
7088931.891927799,2014-10-16,-0.008972130335961892
7086679.451927798,2014-10-17,-0.0003177403922537403
7071245.931927798,2014-10-20,-0.0021778210944479737
7056329.2119277995,2014-10-21,-0.0021094896350086767
7097949.731927798,2014-10-22,0.005898324574999281
7051892.491927798,2014-10-23,-0.006488808985618322
7027558.531927798,2014-10-24,-0.0034506992311432727
6981292.771927802,2014-10-27,-0.006583475582565446
7127523.0919277975,2014-10-28,0.02094602314746008
7166844.531927798,2014-10-29,0.005516844981468205
7119169.1719278,2014-10-30,-0.006652210716669993
7189822.331927797,2014-10-31,0.009924354695572513
7189441.731927799,2014-11-03,-5.2935939502618545e-05
7108677.731927799,2014-11-04,-0.011233695606897132
7009506.531927798,2014-11-05,-0.013950723853268121
7043652.971927799,2014-11-06,0.0048714470618533845
7051058.531927799,2014-11-07,0.0010513805875322912
7244790.891927798,2014-11-10,0.027475642007900314
7158216.491927799,2014-11-11,-0.011949882514409205
7246071.971927799,2014-11-12,0.01227337565147324
7196179.691927798,2014-11-13,-0.006885424295161591
7301522.331927801,2014-11-14,0.014638689486613066
7342143.651927799,2014-11-17,0.00556340419892587
7203382.691927797,2014-11-18,-0.018899243406054533
7123763.451927796,2014-11-19,-0.011053034859472843
7085058.1719278,2014-11-20,-0.005433262946079598
7204144.411927799,2014-11-21,0.016808082179457395
7360137.131927797,2014-11-24,0.021653191701949126
7423479.131927797,2014-11-25,0.008606089650860849
7524183.0919277975,2014-11-26,0.013565601547511852
7525356.251927801,2014-11-27,0.00015591858752905807
7576588.131927799,2014-11-28,0.00680790095311079
7614515.171927798,2014-12-01,0.005005820474808909
7756728.651927797,2014-12-02,0.018676629672272904
7948896.971927799,2014-12-03,0.024774402795725292
8361544.531927797,2014-12-04,0.05191255610146883
8502719.411927797,2014-12-05,0.016883828036905912
